name,yelp_url,menupages_url
The Original Gino's East,http://www.yelp.com/biz/ginos-east-chicago-4,http://chicago.menupages.com/restaurants/ginos-east-2/
The Original Gino's East,http://www.yelp.com/biz/ginos-east-chicago,http://chicago.menupages.com/restaurants/ginos-east-3/
Pegasus,http://www.yelp.com/biz/pegasus-restaurant-and-taverna-chicago,http://chicago.menupages.com/restaurants/pegasus/
Perennial,http://www.yelp.com/biz/perennial-chicago,http://chicago.menupages.com/restaurants/perennial/
The Publican,http://www.yelp.com/biz/the-publican-chicago,http://chicago.menupages.com/restaurants/the-publican/
The Purple Pig,http://www.yelp.com/biz/the-purple-pig-chicago,http://chicago.menupages.com/restaurants/the-purple-pig/
Quartino,http://www.yelp.com/biz/quartino-chicago,http://chicago.menupages.com/restaurants/quartino/
Reza's,http://www.yelp.com/biz/rezas-restaurant-chicago-2,http://chicago.menupages.com/restaurants/rezas/
Reza's,http://www.yelp.com/biz/rezas-restaurant-chicago-3,http://chicago.menupages.com/restaurants/rezas-2/
Rosebud on Rush,http://www.yelp.com/biz/rosebud-on-rush-chicago,http://chicago.menupages.com/restaurants/rosebud-on-rush/
Rosebud Prime,http://www.yelp.com/biz/rosebud-prime-chicago,http://chicago.menupages.com/restaurants/rosebud-prime/
Rosebud Streeteakhouse,http://www.yelp.com/biz/rosebud-steakhouse-chicago,http://chicago.menupages.com/restaurants/rosebud-steakhouse/
Rosebud Trattoria,http://www.yelp.com/biz/rosebud-trattoria-chicago,http://chicago.menupages.com/restaurants/rosebud-trattoria/
The Rosebud,http://www.yelp.com/biz/the-rosebud-chicago,http://chicago.menupages.com/restaurants/the-rosebud/
Rosebud Express,http://www.yelp.com/biz/rosebud-theater-district-chicago-2,http://chicago.menupages.com/restaurants/rosebud-express/
Sabatino's,http://www.yelp.com/biz/sabatinos-restaurant-and-lounge-chicago,http://chicago.menupages.com/restaurants/sabatinos/
Salpicon,http://www.yelp.com/biz/salpicon-chicago,http://chicago.menupages.com/restaurants/salpicon/
Santorini,http://www.yelp.com/biz/santorini-chicago,http://chicago.menupages.com/restaurants/santorini/
Sepia,http://www.yelp.com/biz/sepia-chicago,http://chicago.menupages.com/restaurants/sepia/
Shaw's Crab House,http://www.yelp.com/biz/shaws-crab-house-chicago,http://chicago.menupages.com/restaurants/shaws-crab-house/
Smoque BBQ,http://www.yelp.com/biz/smoque-bbq-chicago,http://chicago.menupages.com/restaurants/smoque-bbq/
Sola,http://www.yelp.com/biz/sola-chicago,http://chicago.menupages.com/restaurants/sola/
Spiaggia,http://www.yelp.com/biz/spiaggia-chicago-2,http://chicago.menupages.com/restaurants/spiaggia/
Szalas,http://www.yelp.com/biz/szalas-restaurant-chicago,http://chicago.menupages.com/restaurants/szalas/
Table Fifty-Two,http://www.yelp.com/biz/table-fifty-two-chicago,http://chicago.menupages.com/restaurants/table-fifty-two-52/
Topolobampo,http://www.yelp.com/biz/topolobampo-chicago,http://chicago.menupages.com/restaurants/topolobampo/
Tru,http://www.yelp.com/biz/tru-chicago,http://chicago.menupages.com/restaurants/tru/
Twin Anchors,http://www.yelp.com/biz/twin-anchors-restaurant-and-tavern-chicago,http://chicago.menupages.com/restaurants/twin-anchors-restaurant/
Urban Belly,http://www.yelp.com/biz/urban-belly-chicago,http://chicago.menupages.com/restaurants/urban-belly/
The Village,http://www.yelp.com/biz/the-italian-village-restaurants-chicago,http://chicago.menupages.com/restaurants/the-village/
Vivere,http://www.yelp.com/biz/vivere-chicago,http://chicago.menupages.com/restaurants/vivere/
Webster's Wine Bar,http://www.yelp.com/biz/websters-wine-bar-chicago,http://chicago.menupages.com/restaurants/websters-wine-bar/
West Town Tavern,http://www.yelp.com/biz/west-town-tavern-chicago,http://chicago.menupages.com/restaurants/west-town-tavern/
Wildfire,http://www.yelp.com/biz/wildfire-chicago,http://chicago.menupages.com/restaurants/wildfire/
Wishbone,http://www.yelp.com/biz/wishbone-chicago,http://chicago.menupages.com/restaurants/wishbone/
Wishbone,http://www.yelp.com/biz/wishbone-chicago-2,http://chicago.menupages.com/restaurants/wishbone-2/
